42467,16333811
28542,16333811
10243,16333811
56702,16333811
53257,16333811
54963,16333811
40664,16333811
17352,16333811
31029,16333811
39480,16333811
23533,16333811
14712,16333811
28488,16333811
29479,16333811
27444,16333811
46186,16333811
44156,16333811
29017,16333811
15271,16333811
36152,16333811
6890,16333811
28364,16333811
17912,16333811
17351,16333811
49918,16333811
8770,16333811
24980,16333811
46720,16333811
56790,16333811
30878,16333811
54871,16333811
16664,16333811
56688,16333811
2213,16333811
13018,16333811
49415,16333811
40903,16333811
14948,16333811
5584,16333811
18522,16333811
56157,16333811
6431,16333811
54767,16333811
15054,16333811
24992,16333811
5190,16333811
34153,16333811
7979,16333811
13489,16333811
26414,16333811
49187,16333811
12949,16333811
9318,16333811
15225,16333811
14002,16333811
53023,16333811
36488,16333811
2860,16333811
47984,16333811
39147,16333811
40400,16333811
20360,16044761
38230,16044761
21931,16044761
43222,16044761
43557,16044761
11946,16044761
35155,16044761
4570,16044761
38279,16044761
47256,16044761
42693,16044761
24429,16044761
3865,16044761
2860,16044761
48890,16044761
47901,16044761
31826,16044761
42376,16044761
17904,16044761
33888,16044761
45655,16044761
40281,16044761
40730,16044761
46100,16044761
14896,16044761
36768,16044761
1050,16044761
21504,16044761
21078,16044761
17541,16044761
13132,16044761
550,16044761
12377,16044761
3859,16044761
6684,16044761
57461,16044761
27679,16044761
43592,16044761
29646,16044761
26956,16044761
18902,16044761
31483,16044761
49318,16044761
38736,16044761
5825,16044761
33018,16044761
41476,16044761
5115,16044761
34759,16044761
28488,16044761
10389,16044761
10575,16044761
24554,16044761
24555,16044761
19877,5083184
6088,5083184
3031,5083184
49206,5083184
1050,5083184
7101,5083184
35151,5083184
53403,5083184
17927,5083184
2149,5083184
34375,5083184
52358,5083184
38009,5083184
10872,5083184
6568,5083184
7516,5083184
36895,5083184
19365,5083184
37523,5083184
20097,5083184
12972,5083184
11570,5083184
34498,5083184
24239,5083184
13576,5083184
15826,5083184
755,5083184
48058,5083184
42893,5083184
35979,5083184
56093,5083184
53264,5083184
21641,5083184
19033,5083184
10231,5083184
48071,5083184
40979,5083184
31219,5083184
35040,5083184
34706,5083184
19200,5083184
32700,5083184
53514,5083184
29208,5083184
40189,4921774
39804,4921774
55901,4921774
13936,4921774
19458,4921774
4677,4921774
8511,4921774
1004,4921774
41425,4921774
54778,4921774
4662,4921774
638,4921774
51890,4921774
13136,4921774
50014,4921774
33858,4921774
24174,4921774
19146,4921774
22047,4921774
56355,4921774
19361,4921774
51076,4921774
47999,4921774
7516,4921774
11766,4921774
53554,4921774
42227,4921774
15884,4921774
49175,4921774
32653,4921774
52117,4921774
43222,4921774
37315,4921774
7659,4921774
4906,4921774
26702,4921774
34162,4921774
9710,4921774
26692,4921774
26667,4921774
51580,4921774
20018,4921774
15241,4921774
